label,text
ham,"Hi, Hey, are we still meeting for lunch tomorrow? Reply now."
ham,"Dear customer, The doctor's appointment is confirmed for Monday 10am. Don't miss out."
spam,Note: Hot singles in your area are waiting to chat with you! Click here now! Don't miss out.
spam,"Hi, Free trial! No credit card required, click now to start earning today! Regards."
spam,Note: You have 1 new voicemail from your bank regarding suspicious activity. Call now. Reply now.
ham,FYI - I booked the tickets for the concert next month. Thanks.
ham,"Hello, Mom says dinner is at 7, don't be late. Reply now."
spam,"Hi, You have 1 new voicemail from your bank regarding suspicious activity. Call now."
spam,"Dear customer, You have been chosen for a special cash reward, click the link to claim it now. Limited time."
spam,"Hello, Congratulations, you are our lucky visitor today! Claim your free prize now! Limited time."
spam,"FYI - Act fast, only 3 spots left for our free webinar on making $10k/month! Don't miss out."
ham,Note: I updated the spreadsheet with the latest numbers.
spam,"Note: FREE entry into our $10,000 cash prize draw. Text WIN to 80088 now! Reply now."
spam,"Get rich quick! Earn $5000 a week working from home, no experience needed. Sign up now!"
spam,"Hello, Final notice: Your car warranty is about to expire. Call now to renew. Don't miss out."
ham,"Dear customer, Running a bit late, be there in 10 minutes. Don't miss out."
spam,"Dear customer, Your PayPal account has been locked. Click here to unlock it immediately. Don't miss out."
spam,"Text STOP to unsubscribe, or click here to claim your free gift card worth $500."
ham,"Hello, Running a bit late, be there in 10 minutes. Limited time."
spam,Your package delivery failed. Click here to reschedule and pay a small fee.
spam,"Text STOP to unsubscribe, or click here to claim your free gift card worth $500. Don't miss out."
spam,"Dear customer, Limited time offer: 90% off all products! Buy now before the deal ends! Regards."
ham,FYI - The doctor's appointment is confirmed for Monday 10am.
spam,FYI - Increase your credit score instantly! Click here for a free consultation. Thanks.
spam,Increase your credit score instantly! Click here for a free consultation.
ham,Note: The wifi password is on the fridge note. Thanks.
ham,"Dear customer, The package should arrive by Wednesday. Thanks."
ham,"Hi, Thanks for your help earlier, really appreciate it. Don't miss out."
spam,"Hi, This is not a scam, you really won! Claim your reward before midnight. Regards."
spam,"Dear customer, Lose 20 pounds in 2 weeks with this one weird trick! Order now! Thanks."
spam,"Hi, Hot singles in your area are waiting to chat with you! Click here now! Limited time."
spam,"FYI - FREE entry into our $10,000 cash prize draw. Text WIN to 80088 now!"
ham,"Thanks for your help earlier, really appreciate it."
ham,"Hello, The meeting has been moved to 3pm, see you then. Reply now."
spam,"FYI - Claim your free vacation to the Bahamas now, only pay for taxes and fees! Thanks."
spam,"Claim your free vacation to the Bahamas now, only pay for taxes and fees!"
ham,"Note: The project deadline is next Friday, let's plan accordingly. Don't miss out."
spam,"FREE entry into our $10,000 cash prize draw. Text WIN to 80088 now! Regards."
ham,"Dear customer, Can you review my code before I push it? Thanks."
spam,"You have won a lottery of $1,000,000! Reply with your bank details to claim."
ham,"Hello, I booked the tickets for the concert next month. Reply now."
spam,FYI - Act now! Your subscription will be cancelled unless you update payment info immediately.
spam,"Make money fast with this exclusive investment opportunity, guaranteed returns! Reply now."
ham,"Hi, Sorry I missed your call, what's up? Thanks."
spam,"Dear customer, Cheap meds online, no prescription needed! Order now and save 80%! Thanks."
spam,"Hi, Get rich quick! Earn $5000 a week working from home, no experience needed. Sign up now! Reply now."
ham,"FYI - Thanks for your help earlier, really appreciate it. Don't miss out."
ham,FYI - Happy birthday! Hope you have a great day.
ham,"Hello, Let's catch up this weekend, it's been a while. Regards."
ham,"Dear customer, Can you send me the report before end of day? Regards."
ham,"Hi, Please review the attached document and let me know your thoughts. Don't miss out."
ham,I'll call you once I land at the airport.
ham,"I left my charger at your place, can I grab it tomorrow? Reply now."
ham,Note: See you at the gym at 6? Reply now.
ham,FYI - Can you send me the report before end of day? Limited time.
ham,"Hello, Thanks for the birthday wishes everyone!"
spam,"Dear customer, URGENT: Your account has been suspended. Verify your details immediately to avoid closure. Regards."
spam,"Hello, Act fast, only 3 spots left for our free webinar on making $10k/month! Don't miss out."
spam,Note: Limited time offer: 90% off all products! Buy now before the deal ends! Regards.
spam,Note: Your loan of $50000 has been approved! Click the link to receive funds instantly. Limited time.
spam,"You've been pre-approved for a credit card with a $10,000 limit. Apply today!"
ham,FYI - See you at the gym at 6? Regards.
ham,"Note: Mom says dinner is at 7, don't be late. Reply now."
spam,"Hi, Final notice: Your car warranty is about to expire. Call now to renew. Limited time."
ham,FYI - Can you send me the report before end of day?
ham,FYI - Are you coming to the team dinner tonight? Don't miss out.
ham,Please review the attached document and let me know your thoughts. Limited time.
ham,"Note: Congrats on the new job, well deserved! Thanks."
ham,"Hey, are we still meeting for lunch tomorrow? Regards."
spam,Exclusive deal just for you: refinance your mortgage and save thousands!
ham,"Congrats on the new job, well deserved! Limited time."
ham,Note: I'll call you once I land at the airport. Thanks.
ham,The wifi password is on the fridge note.
spam,"Dear customer, Text STOP to unsubscribe, or click here to claim your free gift card worth $500. Limited time."
ham,"Sorry I missed your call, what's up?"
ham,I'll send over the invoice tomorrow morning.
ham,See you at the gym at 6?
ham,"Hi, Great job on the presentation, the client loved it. Limited time."
spam,"Note: Your number has been selected for a free cruise vacation, call now! Don't miss out."
ham,Please review the attached document and let me know your thoughts. Regards.
ham,"Hi, Running a bit late, be there in 10 minutes. Don't miss out."
ham,I'll call you once I land at the airport. Limited time.
spam,"Hi, Your PayPal account has been locked. Click here to unlock it immediately. Don't miss out."
spam,"FYI - Make money fast with this exclusive investment opportunity, guaranteed returns! Don't miss out."
ham,The package should arrive by Wednesday.
ham,"Dear customer, Don't forget to pick up milk on your way home. Thanks."
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call now.
spam,"Hello, URGENT: verify your Amazon account now or it will be permanently suspended. Thanks."
ham,Happy birthday! Hope you have a great day.
ham,"FYI - Just checking in, how are you feeling today?"
ham,FYI - Can we reschedule our call to Thursday? Reply now.
spam,FYI - Final notice: Your car warranty is about to expire. Call now to renew. Regards.
ham,I booked the tickets for the concert next month.
spam,"Dear customer, Your PayPal account has been locked. Click here to unlock it immediately. Regards."
spam,"Dear customer, You have won a lottery of $1,000,000! Reply with your bank details to claim."
ham,Can we reschedule our call to Thursday? Don't miss out.
spam,"Dear customer, Double your bitcoin investment in 24 hours, guaranteed! Click to start. Reply now."
spam,"Note: Free trial! No credit card required, click now to start earning today!"
spam,"You have been chosen for a special cash reward, click the link to claim it now."
spam,"Hello, Final notice: Your car warranty is about to expire. Call now to renew. Thanks."
ham,"Dear customer, Can you review my code before I push it?"
ham,"Dear customer, Can you pick up the kids from school today? Don't miss out."
spam,"FYI - Claim your free vacation to the Bahamas now, only pay for taxes and fees! Limited time."
ham,"Hi, Congrats on the new job, well deserved! Regards."
spam,Your loan of $50000 has been approved! Click the link to receive funds instantly. Reply now.
spam,"Dear customer, You have won a lottery of $1,000,000! Reply with your bank details to claim. Thanks."
spam,"You've been pre-approved for a credit card with a $10,000 limit. Apply today! Thanks."
ham,"Hello, Hey, are we still meeting for lunch tomorrow? Reply now."
spam,Note: URGENT: Your account has been suspended. Verify your details immediately to avoid closure. Limited time.
spam,"Note: Double your bitcoin investment in 24 hours, guaranteed! Click to start. Don't miss out."
spam,Hot singles in your area are waiting to chat with you! Click here now! Reply now.
spam,Your loan of $50000 has been approved! Click the link to receive funds instantly.
spam,Act now! Your subscription will be cancelled unless you update payment info immediately.
ham,"Hello, Thanks for your help earlier, really appreciate it. Don't miss out."
ham,"Hi, I booked the tickets for the concert next month. Regards."
spam,"Hello, Text STOP to unsubscribe, or click here to claim your free gift card worth $500."
spam,"Hi, Exclusive deal just for you: refinance your mortgage and save thousands! Regards."
ham,"Hello, Can you review my code before I push it? Regards."
ham,Let me know when you're free to talk.
ham,"The project deadline is next Friday, let's plan accordingly. Reply now."
spam,"Hi, Text STOP to unsubscribe, or click here to claim your free gift card worth $500. Regards."
ham,"Hi, Can we reschedule our call to Thursday? Reply now."
spam,Hot singles in your area are waiting to chat with you! Click here now!
spam,"Hi, This is not a scam, you really won! Claim your reward before midnight. Don't miss out."
spam,"Hi, Free trial! No credit card required, click now to start earning today! Reply now."
ham,"Hello, Let me know when you're free to talk."
spam,"FYI - You have been chosen for a special cash reward, click the link to claim it now. Regards."
ham,Can you review my code before I push it?
spam,FYI - Lose 20 pounds in 2 weeks with this one weird trick! Order now! Thanks.
ham,"Hi, The wifi password is on the fridge note. Regards."
spam,"Your number has been selected for a free cruise vacation, call now!"
ham,Can you send me the report before end of day?
ham,Let me know when you're free to talk. Regards.
ham,"Hi, I'll send over the invoice tomorrow morning. Don't miss out."
ham,"Dear customer, Can you pick up the kids from school today? Regards."
ham,Don't forget to pick up milk on your way home.
ham,FYI - Thanks for the birthday wishes everyone! Reply now.
spam,"Dear customer, URGENT: verify your Amazon account now or it will be permanently suspended. Regards."
spam,WINNER!! You have been selected to receive a $1000 Walmart gift card. Click here to claim now!
ham,"Note: Sorry I missed your call, what's up?"
ham,"Dear customer, The doctor's appointment is confirmed for Monday 10am. Thanks."
spam,"FYI - Make money fast with this exclusive investment opportunity, guaranteed returns! Reply now."
ham,"Dear customer, Don't forget to pick up milk on your way home. Regards."
spam,"Hello, Cheap meds online, no prescription needed! Order now and save 80%! Thanks."
ham,"Dear customer, Let's catch up this weekend, it's been a while."
spam,"FYI - You have won a lottery of $1,000,000! Reply with your bank details to claim. Don't miss out."
spam,"Hi, Your number has been selected for a free cruise vacation, call now! Reply now."
ham,"FYI - Let's catch up this weekend, it's been a while. Reply now."
spam,"Hello, Free trial! No credit card required, click now to start earning today! Limited time."
ham,"The meeting has been moved to 3pm, see you then."
ham,Can we reschedule our call to Thursday? Thanks.
spam,"Your number has been selected for a free cruise vacation, call now! Limited time."
spam,"Hi, Make money fast with this exclusive investment opportunity, guaranteed returns! Don't miss out."
ham,"FYI - The project deadline is next Friday, let's plan accordingly. Regards."
spam,"FYI - Congratulations, you are our lucky visitor today! Claim your free prize now! Thanks."
ham,"Note: Mom says dinner is at 7, don't be late. Regards."
spam,"Hello, Double your bitcoin investment in 24 hours, guaranteed! Click to start."
ham,Note: Are you coming to the team dinner tonight?
spam,Congratulations! You've won a free iPhone 15. Claim your prize before it expires! Reply now.
ham,"Dear customer, I left my charger at your place, can I grab it tomorrow? Regards."
spam,FYI - Exclusive deal just for you: refinance your mortgage and save thousands! Limited time.
ham,"Hi, The wifi password is on the fridge note. Don't miss out."
spam,"Dear customer, Act fast, only 3 spots left for our free webinar on making $10k/month! Thanks."
ham,"Mom says dinner is at 7, don't be late."
spam,"Dear customer, Congratulations! You've won a free iPhone 15. Claim your prize before it expires! Don't miss out."
spam,Limited time offer: 90% off all products! Buy now before the deal ends!
ham,"The project deadline is next Friday, let's plan accordingly. Don't miss out."
ham,"Just checking in, how are you feeling today?"
spam,"Hi, Lose 20 pounds in 2 weeks with this one weird trick! Order now! Regards."
ham,Please review the attached document and let me know your thoughts.
ham,"Hello, Are you coming to the team dinner tonight? Reply now."
ham,Thanks for the birthday wishes everyone!
ham,FYI - I'll send over the invoice tomorrow morning.
ham,"Dear customer, See you at the gym at 6? Reply now."
spam,"Hello, Lose 20 pounds in 2 weeks with this one weird trick! Order now! Don't miss out."
spam,URGENT: verify your Amazon account now or it will be permanently suspended.
ham,"FYI - Sorry I missed your call, what's up? Limited time."
spam,"Hi, WINNER!! You have been selected to receive a $1000 Walmart gift card. Click here to claim now! Limited time."
ham,Thanks for the birthday wishes everyone! Reply now.
spam,"Act fast, only 3 spots left for our free webinar on making $10k/month!"
spam,"FREE entry into our $10,000 cash prize draw. Text WIN to 80088 now!"
spam,"You have won a lottery of $1,000,000! Reply with your bank details to claim. Regards."
ham,I'll call you once I land at the airport. Thanks.
spam,Lose 20 pounds in 2 weeks with this one weird trick! Order now!
ham,I'll call you once I land at the airport. Regards.
spam,Exclusive deal just for you: refinance your mortgage and save thousands! Don't miss out.
ham,"Dear customer, Thanks for the birthday wishes everyone! Regards."
ham,"Hi, Happy birthday! Hope you have a great day. Thanks."
ham,"Just checking in, how are you feeling today? Regards."
ham,Note: I updated the spreadsheet with the latest numbers. Regards.
spam,Note: Act now! Your subscription will be cancelled unless you update payment info immediately.
ham,"Running a bit late, be there in 10 minutes."
ham,"Hi, Great job on the presentation, the client loved it. Thanks."
ham,"Hi, I'll send over the invoice tomorrow morning. Thanks."
ham,"Note: Thanks for your help earlier, really appreciate it."
spam,"Make money fast with this exclusive investment opportunity, guaranteed returns!"
ham,"Dear customer, Hey, are we still meeting for lunch tomorrow?"
spam,"Hi, Double your bitcoin investment in 24 hours, guaranteed! Click to start."
spam,Note: URGENT: verify your Amazon account now or it will be permanently suspended. Don't miss out.
spam,Note: Your PayPal account has been locked. Click here to unlock it immediately. Reply now.
spam,"Hi, Increase your credit score instantly! Click here for a free consultation. Thanks."
ham,FYI - The doctor's appointment is confirmed for Monday 10am. Reply now.
ham,FYI - See you at the gym at 6? Thanks.
spam,Increase your credit score instantly! Click here for a free consultation. Don't miss out.
spam,"Hi, Your loan of $50000 has been approved! Click the link to receive funds instantly. Limited time."
spam,Note: Hot singles in your area are waiting to chat with you! Click here now!
ham,"Hello, Running a bit late, be there in 10 minutes. Reply now."
ham,"Hello, The package should arrive by Wednesday. Regards."
spam,"Dear customer, Congratulations! You've won a free iPhone 15. Claim your prize before it expires!"
ham,FYI - I'll send over the invoice tomorrow morning. Reply now.
ham,"Just checking in, how are you feeling today? Reply now."
ham,Note: Don't forget to pick up milk on your way home. Reply now.
spam,"FYI - Claim your free vacation to the Bahamas now, only pay for taxes and fees!"
spam,"Hello, URGENT: Your account has been suspended. Verify your details immediately to avoid closure. Limited time."
spam,"Hi, Cheap meds online, no prescription needed! Order now and save 80%! Don't miss out."
ham,"FYI - I left my charger at your place, can I grab it tomorrow? Reply now."
ham,Happy birthday! Hope you have a great day. Reply now.
ham,"Dear customer, Can you send me the report before end of day?"
ham,"FYI - Let's catch up this weekend, it's been a while. Don't miss out."
ham,Can you pick up the kids from school today?
spam,"This is not a scam, you really won! Claim your reward before midnight."
ham,"Dear customer, Great job on the presentation, the client loved it. Reply now."
ham,"Hello, I booked the tickets for the concert next month. Regards."
spam,"Hi, Cheap meds online, no prescription needed! Order now and save 80%! Regards."
ham,"I left my charger at your place, can I grab it tomorrow?"
spam,"Hi, You have 1 new voicemail from your bank regarding suspicious activity. Call now. Don't miss out."
spam,"Hello, Your package delivery failed. Click here to reschedule and pay a small fee. Don't miss out."
ham,"Note: The meeting has been moved to 3pm, see you then. Don't miss out."
ham,"Congrats on the new job, well deserved!"
spam,Your package delivery failed. Click here to reschedule and pay a small fee. Don't miss out.
spam,Congratulations! You've won a free iPhone 15. Claim your prize before it expires! Limited time.
